Timestamp,Motion_Type,Current_Pose,Target_Pose,Motor_Positions,Limit_State
2025-10-20 11:04:35,2,"[-0.0, -45.0, 0.0]",[0. 5. 0.],"[45.0, 0.0, 0.0]","[2, 2]"
2025-10-20 11:04:36,Motion_Completed,"[-0.0, -40.005001068115234, 0.0]","[40.0, -0.0, -0.0]","[40.005001068115234, 0.0, 0.0]","[2, 2]"
2025-10-20 11:04:41,2,"[-0.0, -40.000999450683594, 0.0]",[-5.  0.  0.],"[40.000999450683594, 0.0, 0.0]","[2, 2]"
2025-10-20 11:04:42,Motion_Completed,"[-4.9848330815633135, -40.000999450683594, -1.0416905085434163e-05]","[40.000999450683594, 5.0, 5.0]","[40.000999450683594, 4.99399995803833, 4.988999843597412]","[2, 2]"
2025-10-20 11:04:44,2,"[-5.0, -40.000999450683594, 0.0]",[5. 0. 0.],"[40.000999450683594, 5.0, 5.0]","[2, 2]"
2025-10-20 11:04:45,Motion_Completed,"[-0.009166666306555271, -40.000999450683594, -2.0833336748197843e-06]","[40.000999450683594, -0.0, -0.0]","[40.000999450683594, 0.010999999940395355, 0.009999999776482582]","[2, 2]"
2025-10-20 11:04:48,2,"[-0.0, -40.000999450683594, 0.0]",[0. 0. 1.],"[40.000999450683594, 0.0, 0.0]","[2, 2]"
2025-10-20 11:04:50,Motion_Completed,"[-0.0008333524068202536, -40.000999450683594, 0.017415464096172478]","[40.000999450683594, -15.359666860612439, -6.981666754823836]","[40.000999450683594, -15.324000358581543, -6.965000152587891]","[2, 2]"
2025-10-20 11:04:54,0,"[0.000333388646444277, -40.000999450683594, 0.01745505256442148]",[0. 0. 0.],"[40.000999450683594, -15.359999656677246, -6.98199987411499]","[2, 2]"
2025-10-20 11:04:56,Motion_Completed,"[0.0036666685094436, -44.986000061035156, 3.333333104224382e-05]","[45.0, 0.0, 0.0]","[44.986000061035156, -0.032999999821186066, -0.017000000923871994]","[2, 2]"
2025-10-20 11:05:04,3,"[-0.0, -45.0, 0.0]",[  0. 170.   0.],"[45.0, 0.0, 0.0]","[2, 2]"
2025-10-20 11:05:13,Limit_Judge_Triggered,"[-0.0, 155.01800537109375, 0.0]","[155.01800537109375, -170.0]","[-155.01800537109375, 0.0, 0.0]","[2, 2]"
2025-10-20 11:05:13,Limit_Judge_Triggered,"[-0.0, 155.9010009765625, 0.0]","[155.9010009765625, -170.0]","[-155.9010009765625, 0.0, 0.0]","[2, 2]"
2025-10-20 11:05:13,Limit_Judge_Triggered,"[-0.0, 156.51400756835938, 0.0]","[156.51400756835938, -170.0]","[-156.51400756835938, 0.0, 0.0]","[2, 2]"
2025-10-20 11:05:13,Limit_Judge_Triggered,"[-0.0, 156.7259979248047, 0.0]","[156.7259979248047, -170.0]","[-156.7259979248047, 0.0, 0.0]","[2, 2]"
2025-10-20 11:05:13,Limit_Judge_Triggered,"[-0.0, 156.74899291992188, 0.0]","[156.74899291992188, -170.0]","[-156.74899291992188, 0.0, 0.0]","[2, 2]"
2025-10-20 11:05:13,Limit_Judge_Triggered,"[-0.0, 156.75, 0.0]","[156.75, -170.0]","[-156.75, 0.0, 0.0]","[2, 2]"
2025-10-20 11:05:13,Limit_Judge_Triggered,"[-0.0, 156.75, 0.0]","[156.75, -170.0]","[-156.75, 0.0, 0.0]","[2, 2]"
2025-10-20 11:05:13,Limit_Judge_Triggered,"[-0.0, 156.74899291992188, 0.0]","[156.74899291992188, -170.0]","[-156.74899291992188, 0.0, 0.0]","[2, 2]"
2025-10-20 11:05:13,Limit_Judge_Triggered,"[-0.0, 156.74899291992188, 0.0]","[156.74899291992188, -170.0]","[-156.74899291992188, 0.0, 0.0]","[2, 2]"
2025-10-20 11:05:13,Limit_Judge_Triggered,"[-0.0, 156.74899291992188, 0.0]","[156.74899291992188, -170.0]","[-156.74899291992188, 0.0, 0.0]","[2, 2]"
2025-10-20 11:05:13,Limit_Judge_Triggered,"[-0.0, 156.74899291992188, 0.0]","[156.74899291992188, -170.0]","[-156.74899291992188, 0.0, 0.0]","[2, 2]"
2025-10-20 11:05:13,Limit_Judge_Triggered,"[-0.0, 156.74899291992188, 0.0]","[156.74899291992188, -170.0]","[-156.74899291992188, 0.0, 0.0]","[2, 2]"
2025-10-20 11:05:13,Limit_Judge_Triggered,"[-0.0, 156.74899291992188, 0.0]","[156.74899291992188, -170.0]","[-156.74899291992188, 0.0, 0.0]","[2, 2]"
2025-10-20 11:05:13,Limit_Judge_Triggered,"[-0.0, 156.7480010986328, 0.0]","[156.7480010986328, -170.0]","[-156.7480010986328, 0.0, 0.0]","[2, 2]"
2025-10-20 11:05:13,Limit_Judge_Triggered,"[-0.0, 156.7480010986328, 0.0]","[156.7480010986328, -170.0]","[-156.7480010986328, 0.0, 0.0]","[2, 2]"
2025-10-20 11:05:13,Limit_Judge_Triggered,"[-0.0, 156.7480010986328, 0.0]","[156.7480010986328, -170.0]","[-156.7480010986328, 0.0, 0.0]","[2, 2]"
2025-10-20 11:05:14,Limit_Judge_Triggered,"[-0.0, 156.7480010986328, 0.0]","[156.7480010986328, -170.0]","[-156.7480010986328, 0.0, 0.0]","[2, 2]"
2025-10-20 11:05:14,Limit_Judge_Triggered,"[-0.0, 156.7469940185547, 0.0]","[156.7469940185547, -170.0]","[-156.7469940185547, 0.0, 0.0]","[2, 2]"
2025-10-20 11:05:14,Limit_Judge_Triggered,"[-0.0, 156.7469940185547, 0.0]","[156.7469940185547, -170.0]","[-156.7469940185547, 0.0, 0.0]","[2, 2]"
